"","Protein","x"
"12233","Q15345",""
"12234","Q9Y546",""
"12235","Q8N309",""
"12236","Q96CN5",""
"12237","Q96FV0",""
"12238","Q8N1G4",""
"12239","Q8IUZ0",""
"12240","Q9NT99","hsa04514"
"12241","Q9HCJ2","hsa04360 hsa04514"
"12242","Q8N7C0",""
"12243","A6NM62",""
"12244","Q6ZSA7",""
"12245","Q8IYG6",""
"12246","Q8N9N7",""
"12247","Q96CX6",""
"12248","Q96AG4",""
"12249","Q86X45",""
"12250","Q9BV99",""
"12251","Q05C16",""
"12252","Q68CR7",""
"12253","Q6ZNQ3",""
"12254","Q96NW7",""
"12255","Q7Z2Q7",""
"12256","Q8N4P6",""
"12257","A6NJI9",""
"12258","Q5JTD7",""
"12259","Q0VAA2",""
"12260","Q6ZQY2",""
"12261","Q8NAA5",""
"12262","Q2VPJ9",""
"12263","Q8IWT6",""
"12264","Q6P9F7",""
"12265","Q8TDW0",""
"12266","Q7L1W4",""
"12267","Q6NSJ5",""
"12268","Q6ZRR7",""
"12269","Q9BXB1",""
"12270","O75473",""
"12271","Q9HBX8",""
"12272","Q38SD2",""
"12273","Q5S007","hsa05012"
"12274","Q6UXK5",""
"12275","O75325",""
"12276","Q9H3W5",""
"12277","Q8WUT4",""
"12278","Q96L50",""
"12279","Q86UE6",""
"12280","O43300",""
"12281","Q86VH5",""
"12282","Q86VH4",""
"12283","Q9P2V4",""
"12284","A6NDA9",""
"12285","Q3SXY7",""
"12286","Q96JM4",""
"12287","A6PVS8",""
"12288","A6NIV6",""
"12289","Q9UFC0",""
"12290","Q9Y2L9",""
"12291","Q5VUJ6",""
"12292","Q96II8",""
"12293","O75427",""
"12294","A4D1F6",""
"12295","Q96M69",""
"12296","Q96JA1",""
"12297","O94898",""
"12298","Q6UXM1",""
"12299","Q9HBL6",""
"12300","Q8N967",""
"12301","Q8N8F7",""
"12302","Q8N112",""
"12303","Q8WZ04, Q96E66",""
"12304","A8MZ59",""
"12305","Q8WZA0",""
"12306","O95202",""
"12307","Q2VYF4",""
"12308","Q6ICC9",""
"12309","O95751",""
"12310","Q8N653",""
"12311","Q86V48",""
"12312","Q86TE4",""
"12313","Q9P127",""
"12314","Q538Z0",""
"12315","Q9NQ48",""
"12316","Q9Y250",""
"12317","Q9BRK4",""
"12318","O60299",""
"12319","Q6ZMV7",""
"12320","Q9UIQ6","hsa04614"
"12321","Q15031","hsa00970"
"12322","Q9P2J5","hsa00970"
"12323","A1A4G5",""
"12324","P42702","hsa04060 hsa04550 hsa04630"
"12325","P15018","hsa04060 hsa04550 hsa04630 hsa04668"
"12326","Q6GTX8",""
"12327","Q6ISS4",""
"12328","O75829",""
"12329","O14960",""
"12330","O75019","hsa04380"
"12331","Q8N149","hsa04380"
"12332","Q8N6C8","hsa04380"
"12333","P59901","hsa04380"
"12334","A6NI73","hsa04380"
"12335","Q6PI73","hsa04380"
"12336","Q8NHL6","hsa04380"
"12337","Q8N423","hsa04380"
"12338","Q8NHJ6","hsa04380"
"12339","O75023","hsa04380"
"12340","O75022",""
"12341","Q96BZ8",""
"12342","Q96PV6",""
"12343","Q96B70",""
"12344","P29376",""
"12345","O00453",""
"12346","P09960","hsa00590 hsa01100"
"12347","Q9NPC1","hsa04020 hsa04080"
"12348","Q15722","hsa04080"
"12349","Q16873","hsa00590 hsa01100"
"12350","O60711",""
"12351","Q8N3X6",""
"12352","Q96JN0",""
"12353","Q5T3J3",""
"12354","Q8TBB1",""
"12355","Q8N448",""
"12356","Q8IVB5",""
"12357","Q8N485",""
"12358","Q53QV2",""
"12359","Q6UX01",""
"12360","Q8WVP7",""
"12361","Q13449",""
"12362","Q9H9Z2",""
"12363","Q6ZN17",""
"12364","Q96GY3",""
"12365","Q52LA3",""
"12366","Q6MZP7",""
"12367","O14910",""
"12368","Q9HAP6",""
"12369","Q9NUP9",""
"12370","Q5TKA1",""
"12371","Q8NG48",""
"12372","Q9GZY6",""
"12373","O43561","hsa04014 hsa04015 hsa04064 hsa04650 hsa04660 hsa04664 hsa04666"
"12374","P38571","hsa00100 hsa04142"
"12375","P11150","hsa00561 hsa01100"
"12376","Q05469","hsa04024 hsa04152 hsa04910 hsa04923 hsa04925"
"12377","P07098","hsa00561 hsa01100 hsa04975"
"12378","Q9Y5X9","hsa00561 hsa01100"
"12379","Q8WWY8",""
"12380","Q6XZB0",""
"12381","Q5W064",""
"12382","Q5VXJ0",""
"12383","Q5VYY2",""
"12384","Q5VXI9",""
"12385","Q96S06",""
"12386","Q9BU23",""
"12387","Q9H6V9",""
"12388","Q14693","hsa00561 hsa00564 hsa01100"
"12389","Q92539","hsa00561 hsa00564 hsa01100"
"12390","Q9BQK8","hsa00561 hsa00564 hsa01100"
"12391","Q5VSP4",""
"12392","P31025",""
"12393","Q6JVE6",""
"12394","Q6JVE5",""
"12395","Q6UWW0",""
"12396","P80188",""
"12397","P62502",""
"12398","Q6JVE9",""
"12399","Q8WX39",""
"12400","Q6ZST4",""
"12401","O43766","hsa00785 hsa01100"
"12402","Q86X29",""
"12403","Q9Y693",""
"12404","Q86WI0",""
"12405","Q6ZUX7",""
"12406","Q86UP9",""
"12407","Q7Z7J7",""
"12408","Q8TAF8",""
"12410","Q99732","hsa04142"
"12411","P06858","hsa00561 hsa03320 hsa05010"
"12412","Q16609",""
"12413","P08519",""
"12414","Q8IVV2",""
"12415","A6NK58","hsa00785 hsa01100"
"12416","Q9Y234","hsa00785 hsa01100"
"12417","O94822",""
"12418","Q969E1",""
"12419","P36776",""
"12420","Q86WA8",""
"12421","A0A1B0GVN3",""
"12422","Q6XXX2",""
"12423","Q8NCU8",""
"12424","A0A1B0GVY4",""
"12425","A0A1B0GTU2",""
"12426","Q8N9X3",""
"12427","J3KSC0",""
"12428","A0A0U1RRE5",""
"12429","Q8N7H1",""
"12430","Q5VT33",""
"12431","A6NGU7",""
"12432","P58512",""
"12433","A6NM66",""
"12434","A6NIU2",""
"12435","Q86U37",""
"12436","A4QN01",""
"12437","Q52M75",""
"12438","Q8NAE3",""
"12439","Q5JQF7",""
"12440","Q9Y6Z2",""
"12441","Q495D7",""
"12442","Q8TB33",""
"12443","Q8N1V8",""
"12444","O15544",""
"12445","Q6ZSR6",""
"12446","P58513",""
"12447","Q99440",""
"12448","Q5TEZ4",""
"12449","Q8WXQ3",""
"12450","Q96MT4",""
"12451","G3V211",""
"12452","Q96N53",""
"12453","Q6ZV60",""
"12454","A0A1B0GTL2",""
"12455","Q96KT6",""
"12456","A0A1B0GTZ2",""
"12457","Q5T6M2",""
"12458","Q8N2A0",""
"12459","P0C7V0",""
"12460","Q6ZSB3",""
"12461","Q8NCQ3",""
"12462","Q3SY05",""
"12463","Q8N9R0",""
"12464","Q7Z4B0",""
"12465","Q8TCZ7",""
"12466","P59036",""
"12467","Q8N616",""
"12468","Q9Y6C7",""
"12469","P59037",""
"12470","P59091",""
"12471","P0C843",""
"12472","Q6ZN03",""
"12473","Q6ZUF6",""
"12474","Q8N6G1",""
"12475","Q8IVM7",""
"12476","A0A1B0GVH6",""
"12477","Q8N7U9",""
"12478","Q9BZP3",""
"12479","Q8N535",""
"12480","Q9H8W2",""
"12481","A8K010",""
"12482","Q9P2X8",""
"12483","Q8WZB0",""
"12484","Q96M19",""
"12485","Q96M42",""
"12486","Q8N8I6",""
"12487","Q53H64",""
"12488","A0A096LP01",""
"12489","Q8N0U6",""
"12490","Q96N35",""
"12491","Q8NCU1",""
"12492","Q86TU6",""
"12493","Q96FQ7",""
"12494","Q9UJ94",""
"12495","Q8N1L1",""
"12496","Q9H8X3",""
"12497","Q6W349",""
"12498","B1AMM8",""
"12499","Q9Y4M8",""
"12500","Q86U02",""
"12501","Q9H2U6",""
"12502","Q8N9P0",""
"12503","Q8N6U2",""
"12504","P0C842",""
"12505","Q96LM1",""
"12506","Q3ZM63",""
"12507","Q86TS7",""
"12508","A6NJY4",""
"12509","A0A1B0GUQ0, A0A1B0GV22",""
"12510","Q6ZRV3",""
"12511","Q6ZU45",""
"12512","A0A1B0GVQ3",""
"12513","A6NCI5",""
"12514","P0C866",""
"12515","A0A1B0GWG4",""
"12516","A0A1B0GTD5",""
"12517","A0A1B0GUI7",""
"12518","A0A1B0GUT2",""
"12519","A0A1B0GVQ0",""
"12520","A4D0T7",""
"12521","P23490",""
"12522","Q5SW96","hsa04144"
"12523","Q5T700",""
"12524","Q5SZI1",""
"12525","Q86YD5",""
"12526","O15165",""
"12527","P01130","hsa04144 hsa04913 hsa04925 hsa04976 hsa05145 hsa05160"
"12529","Q9C0E8",""
"12530","Q71F78",""
"12531","P01229","hsa04080 hsa04912 hsa04913 hsa04917"
"12532","P22888","hsa04020 hsa04080 hsa04913 hsa04917"
"12533","Q9Y5Y7",""
"12534","P18627",""
"12535","Q14210",""
"12536","Q16553",""
"12537","Q8NDX9",""
"12538","Q5SRR4",""
"12539","O95867",""
"12540","O95868",""
"12541","Q5SQ64",""
"12542","O94772",""
"12543","Q17RY6",""
"12544","H3BQJ8",""
"12545","O60449",""
"12546","O95711",""
"12547","Q9HBG7",""
"12548","Q9Y6Y9","hsa04064 hsa04620 hsa05130 hsa05133 hsa05145"
"12549","P13796",""
"12550","Q13094","hsa04015 hsa04380 hsa04611 hsa04650 hsa04660 hsa04664"
"12551","Q3ZCV2",""
"12552","Q8IWV1",""
"12553","P33241","hsa05152"
"12554","Q9UJU2","hsa04310 hsa04390 hsa04520 hsa04916 hsa05200 hsa05210 hsa05213 hsa05215 hsa05216 hsa05217 hsa05221 hsa05412"
"12555","Q12912",""
"12556","P01374","hsa04060 hsa04064 hsa04668 hsa04940 hsa05166 hsa05168"
"12557","P36941","hsa04060 hsa04064 hsa04066 hsa04672 hsa05166 hsa05203"
"12558","Q06643","hsa04060 hsa04064 hsa05323"
"12559","Q9H8E8",""
"12560","Q92830","hsa04330 hsa04919 hsa05166 hsa05203"
"12561","Q92831","hsa04330 hsa04919 hsa05166 hsa05203"
"12562","Q92993","hsa05166"
"12563","Q92794","hsa04550"
"12564","Q8WYB5",""
"12565","O95251",""
"12566","Q9H7Z6",""
"12567","O60341",""
"12568","Q8NB78",""
"12569","Q9Y2K7",""
"12570","Q8NHM5",""
"12571","Q9Y4C1",""
"12572","Q7LBC6",""
"12573","O75164",""
"12574","O94953",""
"12575","Q9H3R0",""
"12576","Q6B0I6",""
"12577","B2RXH2",""
"12578","P29375",""
"12579","Q9UGL1",""
"12580","P41229",""
"12581","Q9BY66",""
"12582","O15550","hsa05202"
"12583","O15054",""
"12584","Q6ZMT4",""
"12585","Q8N371",""
"12586","Q03164","hsa00310 hsa05202"
"12587","Q9UMN6","hsa00310"
"12588","Q8NEZ4","hsa00310"
"12589","O14686","hsa00310"
"12590","Q8IZD2","hsa00310"
"12591","Q9NQR1","hsa00310"
"12592","Q4FZB7","hsa00310"
"12593","Q86Y97","hsa00310"
"12594","Q9NPI7",""
"12595","Q1ED39",""
"12596","Q6UWP7","hsa00561 hsa00564 hsa01100"
"12597","Q92633","hsa04015 hsa04080 hsa04151 hsa04540 hsa05200"
"12598","Q9HBW0","hsa04015 hsa04080 hsa04151 hsa05200"
"12599","Q9UBY5","hsa04015 hsa04080 hsa04151 hsa05200"
"12600","Q99677","hsa04015 hsa04080 hsa04151 hsa05200"
"12601","Q9H1C0","hsa04015 hsa04151 hsa05200"
"12602","P43657","hsa04080 hsa04151 hsa05200"
"12603","Q8NF37","hsa00564 hsa00565 hsa01100"
"12605","Q6P1A2","hsa00564"
"12606","Q643R3","hsa00564 hsa00565 hsa01100"
"12607","Q92604","hsa00564"
"12608","O75608","hsa00564 hsa05231"
"12609","O95372","hsa00564"
"12610","Q5VWZ2",""
"12611","P11279","hsa04142 hsa04145 hsa05152"
"12613","Q9UQV4","hsa04142"
"12614","Q9UJQ1",""
"12615","Q15012","hsa04142"
"12616","Q86VI4","hsa04142"
"12617","Q13571","hsa04142"
"12618","Q99698",""
"12619","Q8N1E2",""
"12620","Q86SG7",""
"12621","Q6UWQ5",""
"12622","Q7Z4W2",""
"12623","Q96KX0",""
"12624","O75951",""
"12625","P61626","hsa04970"
"12626","Q08397",""
"12627","Q9Y4K0",""
"12628","P58215",""
"12629","Q96JB6",""
"12630","P28300",""
"12631","Q15046","hsa00970"
"12632","Q13394",""
"12633","Q9Y586",""
"12634","Q8N8X9",""
"12635","Q7L5Y9",""
"12636","Q2M385",""
"12637","P14174","hsa00350 hsa00360"
"12638","Q9UEW3","hsa04145"
"12639","P21757","hsa04145"
"12640","Q2TV78",""
"12641","Q04912",""
"12642","P26927",""
"12643","Q96JY0",""
"12644","Q8NDA8",""
"12645","A6NES4",""
"12646","Q7Z745",""
"12647","Q6ZUA9",""
"12648","A6NGR9",""
"12649","Q68CQ1",""
"12650","Q9H579",""
"12651","Q5TGP6",""
"12652","Q9BYG7",""
"12653","Q86V88",""
"12654","Q9H0U3",""
"12655","Q96A72","hsa03013 hsa03015 hsa03040"
"12656","P61326","hsa03013 hsa03015 hsa03040"
"12657","O60291","hsa04120"
"12658","Q9H3U5",""
"12659","Q14728",""
"12660","O43934",""
"12661","Q6NUT3",""
"12662","Q14CX5",""
"12663","Q96MC6",""
"12664","Q5SR56",""
"12665","Q5VZR4",""
"12666","Q8NA29",""
"12667","A6NFX1",""
"12668","Q96ES6",""
"12669","Q8N468",""
"12670","Q5TF39",""
"12671","Q6N075",""
"12672","Q8IWD5",""
"12673","Q6ZSS7",""
"12674","Q6UXD7",""
"12675","Q8NHS3","hsa04142"
"12676","Q8NBP5",""
"12677","P04439","hsa04144 hsa04145 hsa04514 hsa04612 hsa04940 hsa05166 hsa05168 hsa05169 hsa05203 hsa05320 hsa05330 hsa05332 hsa05416"
"12678","P01889","hsa04144 hsa04145 hsa04514 hsa04612 hsa04940 hsa05166 hsa05168 hsa05169 hsa05203 hsa05320 hsa05330 hsa05332 hsa05416"
"12679","P10321","hsa04144 hsa04145 hsa04514 hsa04612 hsa04940 hsa05166 hsa05168 hsa05169 hsa05203 hsa05320 hsa05330 hsa05332 hsa05416"
"12680","P13747","hsa04144 hsa04145 hsa04514 hsa04612 hsa04940 hsa05166 hsa05168 hsa05169 hsa05203 hsa05320 hsa05330 hsa05332 hsa05416"
"12681","P30511","hsa04144 hsa04145 hsa04514 hsa04612 hsa04940 hsa05166 hsa05168 hsa05169 hsa05203 hsa05320 hsa05330 hsa05332 hsa05416"
"12682","P17693","hsa04144 hsa04145 hsa04514 hsa04612 hsa04940 hsa05166 hsa05168 hsa05169 hsa05203 hsa05320 hsa05330 hsa05332 hsa05416"
"12683","P01893",""
"12684","Q95460",""
"12685","P28067","hsa04145 hsa04514 hsa04612 hsa04672 hsa04940 hsa05140 hsa05145 hsa05150 hsa05152 hsa05164 hsa05166 hsa05168 hsa05310 hsa05320 hsa05321 hsa05322 hsa05323 hsa05330 hsa05332 hsa05416"
"12686","P28068","hsa04145 hsa04514 hsa04612 hsa04672 hsa04940 hsa05140 hsa05145 hsa05150 hsa05152 hsa05164 hsa05166 hsa05168 hsa05310 hsa05320 hsa05321 hsa05322 hsa05323 hsa05330 hsa05332 hsa05416"
"12687","P06340","hsa04145 hsa04514 hsa04612 hsa04672 hsa04940 hsa05140 hsa05145 hsa05150 hsa05152 hsa05164 hsa05166 hsa05168 hsa05310 hsa05320 hsa05321 hsa05322 hsa05323 hsa05330 hsa05332 hsa05416"
"12688","P13765","hsa04145 hsa04514 hsa04612 hsa04672 hsa04940 hsa05140 hsa05145 hsa05150 hsa05152 hsa05164 hsa05166 hsa05168 hsa05310 hsa05320 hsa05321 hsa05322 hsa05323 hsa05330 hsa05332 hsa05416"
"12689","P20036","hsa04145 hsa04514 hsa04612 hsa04672 hsa04940 hsa05140 hsa05145 hsa05150 hsa05152 hsa05164 hsa05166 hsa05168 hsa05169 hsa05310 hsa05320 hsa05321 hsa05322 hsa05323 hsa05330 hsa05332 hsa05416"
"12690","P04440","hsa04145 hsa04514 hsa04612 hsa04672 hsa04940 hsa05140 hsa05145 hsa05150 hsa05152 hsa05164 hsa05166 hsa05168 hsa05169 hsa05310 hsa05320 hsa05321 hsa05322 hsa05323 hsa05330 hsa05332 hsa05416"
"12691","P01909","hsa04145 hsa04514 hsa04612 hsa04672 hsa04940 hsa05140 hsa05145 hsa05150 hsa05152 hsa05164 hsa05166 hsa05168 hsa05169 hsa05310 hsa05320 hsa05321 hsa05322 hsa05323 hsa05330 hsa05332 hsa05416"
"12692","P01906","hsa04145 hsa04514 hsa04612 hsa04672 hsa04940 hsa05140 hsa05145 hsa05150 hsa05152 hsa05164 hsa05166 hsa05168 hsa05169 hsa05310 hsa05320 hsa05321 hsa05322 hsa05323 hsa05330 hsa05332 hsa05416"
"12693","P01920","hsa04145 hsa04514 hsa04612 hsa04672 hsa04940 hsa05140 hsa05145 hsa05150 hsa05152 hsa05164 hsa05166 hsa05168 hsa05169 hsa05310 hsa05320 hsa05321 hsa05322 hsa05323 hsa05330 hsa05332 hsa05416"
"12694","P05538",""
"12695","P01903","hsa04145 hsa04514 hsa04612 hsa04640 hsa04672 hsa04940 hsa05140 hsa05145 hsa05150 hsa05152 hsa05164 hsa05166 hsa05168 hsa05169 hsa05310 hsa05320 hsa05321 hsa05322 hsa05323 hsa05330 hsa05332 hsa05416"
"12696","P01911","hsa04145 hsa04514 hsa04612 hsa04640 hsa04672 hsa04940 hsa05140 hsa05145 hsa05150 hsa05152 hsa05164 hsa05166 hsa05168 hsa05169 hsa05310 hsa05320 hsa05321 hsa05322 hsa05323 hsa05330 hsa05332 hsa05416"
"12697","P79483","hsa04145 hsa04514 hsa04612 hsa04640 hsa04672 hsa04940 hsa05140 hsa05145 hsa05150 hsa05152 hsa05164 hsa05166 hsa05168 hsa05169 hsa05310 hsa05320 hsa05321 hsa05322 hsa05323 hsa05330 hsa05332 hsa05416"
"12698","P13762","hsa04145 hsa04514 hsa04612 hsa04640 hsa04672 hsa04940 hsa05140 hsa05145 hsa05150 hsa05152 hsa05164 hsa05166 hsa05168 hsa05169 hsa05310 hsa05320 hsa05321 hsa05322 hsa05323 hsa05330 hsa05332 hsa05416"
"12699","Q30154","hsa04145 hsa04514 hsa04612 hsa04640 hsa04672 hsa04940 hsa05140 hsa05145 hsa05150 hsa05152 hsa05164 hsa05166 hsa05168 hsa05169 hsa05310 hsa05320 hsa05321 hsa05322 hsa05323 hsa05330 hsa05332 hsa05416"
"12700","P30301",""
"12701","Q14764",""
"12702","Q9UHC7",""
"12703","Q9H000",""
"12704","Q13064",""
"12705","Q13434",""
"12706","Q6NVV0",""
"12707","Q969L2",""
"12708","Q13021",""
"12709","P21145",""
"12710","P40925","hsa00020 hsa00270 hsa00620 hsa00630 hsa01100 hsa01130 hsa01200 hsa04964"
"12711","Q5I0G3",""
"12713","P20794",""
"12714","Q68DK7",""
"12715","Q16626",""
"12716","Q9HCI7",""
"12717","P0C860",""
"12718","Q8N5Y2",""
"12719","Q14165",""
"12720","P48163","hsa00620 hsa01100 hsa01200"
"12721","P23368","hsa00620 hsa01200"
"12722","Q16798","hsa00620 hsa01100 hsa01200"
"12723","Q9Y4C4",""
"12724","O95822","hsa00410 hsa00640 hsa01100 hsa04146 hsa04152"
"12725","Q8IVS2","hsa00061 hsa01100 hsa01212"
"12726","Q2M2H8",""
"12728","P48740","hsa04610 hsa05150"
"12729","O00187","hsa04610 hsa05150"
"12730","P11226","hsa04145 hsa04610 hsa05150"
"12731","P34949","hsa00051 hsa00520 hsa01100"
"12732","Q9UBG0","hsa04145 hsa05152"
"12733","P22897","hsa04145 hsa05152"
"12734","P20645","hsa04142 hsa04145"
"12735","O75352",""
"12736","P33908","hsa00510 hsa01100 hsa04141"
"12737","O60476","hsa00510 hsa01100 hsa04141"
"12738","Q9UKM7","hsa00510 hsa01100 hsa04141"
"12739","Q9NR34","hsa00510 hsa01100 hsa04141"
"12740","Q16706","hsa00510 hsa01100"
"12741","P49641","hsa00510 hsa01100"
"12742","O00754","hsa00511 hsa04142"
"12743","Q9Y2E5","hsa00511"
"12744","Q9NTJ4","hsa00511"
"12745","Q9NQG1",""
"12746","O00462","hsa00511 hsa04142"
"12747","Q5VSG8",""
"12748","Q5SRI9",""
"12749","P26572","hsa00510 hsa01100"
"12750","Q9UM21","hsa00510 hsa01100"
"12751","Q9UQ53","hsa00510 hsa01100"
"12752","Q10469","hsa00510 hsa01100"
"12753","Q09328","hsa00510 hsa01100"
"12754","Q3V5L5","hsa00510 hsa01100"
"12755","Q09327","hsa00510 hsa01100"
"12756","Q13724","hsa00510 hsa01100 hsa04141"
"12757","Q8WU39",""
"12758","P46013",""
"12759","Q8IX19",""
"12760","Q7Z6M3",""
"12761","Q13495",""
"12762","Q92585","hsa04330"
"12763","Q8IZL2","hsa04330"
"12764","Q96JK9","hsa04330"
"12765","Q14680",""
"12766","P21941",""
"12767","O00339",""
"12768","O15232",""
"12769","O95460",""
"12770","P43243",""
"12771","Q8WWC4",""
"12772","P08493",""
"12773","Q9NQ76",""
"12774","P03956","hsa03320 hsa05200 hsa05219 hsa05323"
"12775","P09238",""
"12776","P24347",""
"12777","P39900",""
"12778","P45452",""
"12779","P50281","hsa04668 hsa04912"
"12780","P51511",""
"12781","P51512","hsa05206"
"12782","Q9ULZ9",""
"12783","Q99542",""
"12784","P08253","hsa04670 hsa04912 hsa04915 hsa05200 hsa05205 hsa05219"
"12785","O60882",""
"12786","Q8N119",""
"12787","O75900",""
"12788","Q9Y5R2",""
"12789","Q9NPA2",""
"12790","Q9NRE1",""
"12791","Q9H306",""
"12792","Q9H239",""
"12793","P08254","hsa04668 hsa05202 hsa05323"
"12794","P09237","hsa04310"
"12795","P22894",""
"12796","P14780","hsa04668 hsa04670 hsa04915 hsa05161 hsa05200 hsa05202 hsa05205 hsa05206 hsa05219"
"12797","Q9NR99",""
"12798","P84157",""
"12799","Q9BRK3",""
"12800","P56278","hsa04151"
"12801","Q8N3F0",""
"12802","Q05BQ5",""
"12804","Q15648","hsa04919"
"12805","Q9BTT4",""
"12806","Q9P086",""
"12807","Q86YW9","hsa04919"
"12808","Q93074","hsa04919"
"12809","Q71F56","hsa04919"
"12810","Q9UHV7","hsa04919"
"12811","O60244","hsa04919"
"12812","Q96RN5",""
"12813","Q9Y2X0","hsa04919"
"12814","Q9NVC6","hsa04919"
"12815","Q9BUE0",""
"12816","A0JLT2",""
"12817","Q9H944",""
"12818","Q13503",""
"12819","Q15528",""
"12820","Q9ULK4",""
"12821","O75448","hsa04919"
"12822","Q71SY5",""
"12823","O95402",""
"12824","Q6P2C8","hsa04919"
"12825","Q9H204",""
"12826","Q9NX70",""
"12827","Q96HR3","hsa04919"
"12828","Q9Y3C7",""
"12829","Q9NPJ6","hsa04919"
"12830","O75586",""
"12831","O43513",""
"12832","Q96G25","hsa05168"
"12833","Q9NWA0",""
"12834","Q14676",""
"12835","Q9Y316",""
"12836","Q969V6",""
"12837","P42679","hsa04722"
"12838","Q15049",""
"12839","Q8TC57",""
"12840","Q9NXC5",""
"12841","Q8NEH6",""
"12842","Q8N635",""
"12843","A2RUB1",""
"12844","Q5JSS6",""
"12845","Q5TIA1",""
"12846","A8MW99",""
"12847","A0A087WXM9",""
"12848","Q9BWT6",""
"12849","Q16655",""
"12850","Q99705","hsa04080"
"12851","Q969V1","hsa04080"
"12852","Q01726","hsa04080 hsa04916"
"12853","Q96G30",""
"12854","Q8TCY5",""
"12855","Q01718","hsa04024 hsa04080 hsa04925"
"12856","P41968","hsa04080"
"12857","P32245","hsa04080"
"12858","P33032","hsa04080"
"12859","O75030","hsa04380 hsa04916 hsa05200 hsa05218"
"12860","Q2TAK8",""
"12861","P43121",""
"12862","Q96PC5",""
"12863","Q16674",""
"12864","Q9BV36",""
"12865","Q8N565",""
"12866","P08582",""
"12867","P48039","hsa04080 hsa04713"
"12868","P49286","hsa04080 hsa04713"
"12869","Q3KP22",""
"12870","Q96QZ7","hsa04015 hsa04530"
"12871","Q86UL8","hsa04015"
"12872","Q5TCQ9","hsa04015"
"12873","Q8TCQ1",""
"12874","Q8NA82",""
"12875","A6NNE9",""
"12876","Q9P0N8",""
"12877","Q86UD3",""
"12878","Q9P2E8",""
"12879","Q9NX47",""
"12880","O60337","hsa04141"
"12881","Q9H992",""
"12882","Q5T0T0",""
"12883","Q86YJ5",""
"12884","Q6ZNC8","hsa00561 hsa00564 hsa01100"
"12885","Q6ZWT7","hsa00561 hsa00564 hsa01100"
"12886","Q96T53",""
"12887","Q96N66","hsa00564"
"12888","Q14703","hsa04141"
"12889","O43462","hsa04141"
"12890","Q9BY79",""
"12891","Q8N4V1",""
"12892","Q495T6",""
"12893","P08473","hsa04614 hsa04640 hsa04974 hsa05010"
"12894","Q00013",""
"12895","Q14168",""
"12896","Q13368",""
"12897","Q96JB8",""
"12898","Q8N3R9","hsa04390 hsa04530"
"12899","Q9NZW5",""
"12900","Q5T2T1",""
"12901","P11836","hsa04640"
"12902","Q96PG2",""
"12903","Q9NXJ0",""
"12904","Q5J8X5",""
"12905","Q96JA4",""
"12906","Q8N5U1",""
"12907","Q3C1V0",""
"12908","Q01362","hsa04071 hsa04664 hsa05310"
"12909","Q96HJ5",""
"12910","Q96JQ5",""
"12911","Q96PG1",""
"12912","Q9H3V2",""
"12913","Q9H2W1",""
"12914","Q96DS6",""
"12915","Q9GZW8",""
"12916","Q9BY19",""
"12917","O00255","hsa05202"
"12918","O60502","hsa04931"
"12919","Q16819","hsa04974"
"12920","Q16820","hsa04974"
"12922","P55145",""
"12923","P50221",""
"12924","P50222",""
"12925","Q5VYS4",""
"12926","Q9H1K6",""
"12927","Q14696",""
"12928","Q9BRJ9",""
"12929","Q0VG99",""
"12930","Q5EB52",""
"12931","A6NI15",""
"12932","Q13421",""
"12933","Q96KJ4",""
"12934","Q86UE4",""
"12935","Q14872",""
"12936","Q9Y483",""
"12937","A4D2B0",""
"12938","Q68D91",""
"12939","Q53F39",""
"12940","O15442",""
"12941","Q15777",""
"12942","P04731","hsa04978"
"12943","P07438","hsa04978"
"12944","A1L3X4",""
"12945","P04732","hsa04978"
"12946","P04733","hsa04978"
"12947","P13640","hsa04978"
"12948","P80294","hsa04978"
"12949","P0DM35",""
"12950","Q93083",""
"12951","Q8N339","hsa04978"
"12952","P80297","hsa04978"
"12953","P02795","hsa04978"
"12954","P25713",""
"12955","P47944",""
"12956","O94776",""
"12957","Q9BTC8",""
"12958","Q13330",""
"12959","Q13505",""
"12960","O75431",""
"12961","Q5HYI7",""
"12962","Q641Q3",""
"12963","Q9UJH8",""
"12964","Q2M296",""
"12965","Q00266","hsa00270 hsa01100 hsa01230"
"12967","Q9NZL9","hsa00270 hsa01100 hsa01230"
"12968","Q9UJ68",""
"12969","Q9NZV6",""
"12970","Q9Y3D2",""
"12971","Q8IXL7",""
"12972","P53582",""
"12973","P50579",""
"12974","Q6UB28",""
"12975","Q96GW9","hsa00450 hsa00970"
"12977","O95243","hsa03410"
"12978","Q9UIS9",""
"12979","Q9UBB5",""
"12980","Q8WWY6",""
"12981","Q8NHZ7",""
"12982","A6NE82",""
"12983","A6NDZ8",""
"12984","A6NJ08",""
"12985","O95983",""
"12986","Q9P267",""
"12987","Q96DN6",""
"12988","P51608",""
"12989","Q96RQ3","hsa00280 hsa01100"
"12991","Q6UB35","hsa00670 hsa01100"
"12992","P13995","hsa00670 hsa01100"
"12993","Q9H903","hsa00670 hsa01100"
"12995","P42898","hsa00670 hsa01100 hsa01200"
"12996","Q8IVH4",""
"12997","Q96EY8","hsa00860 hsa01100"
"12998","Q9Y4U1","hsa04977"
"12999","Q9H3L0",""
"13000","Q96PE7","hsa00280 hsa00630 hsa00640 hsa01100 hsa01200"
"13001","P22033","hsa00280 hsa00630 hsa00640 hsa01100 hsa01200"
"13002","Q7L2J0",""
