"","Metabolic pathways","Biosynthesis of secondary metabolites","Carbon metabolism","Ribosome","Biosynthesis of amino acids","Oxidative phosphorylation","Glycolysis / Gluconeogenesis","Carbon fixation in photosynthetic organisms","Pyruvate metabolism","Spliceosome","Protein processing in endoplasmic reticulum","Glutathione metabolism","Starch and sucrose metabolism","Glyoxylate and dicarboxylate metabolism","Photosynthesis","Amino sugar and nucleotide sugar metabolism","Phenylpropanoid biosynthesis","RNA transport","Citrate cycle (TCA cycle)","Pentose phosphate pathway","Purine metabolism","Endocytosis","Proteasome","Fructose and mannose metabolism","Aminoacyl-tRNA biosynthesis","Alanine, aspartate and glutamate metabolism","Glycine, serine and threonine metabolism","Cysteine and methionine metabolism","Peroxisome","Ascorbate and aldarate metabolism","Phagosome","Porphyrin and chlorophyll metabolism","mRNA surveillance pathway","RNA degradation","Plant-pathogen interaction","Fatty acid degradation","alpha-Linolenic acid metabolism","2-Oxocarboxylic acid metabolism","MAPK signaling pathway - plant","Valine, leucine and isoleucine degradation","Glycerolipid metabolism","Galactose metabolism","Phenylalanine, tyrosine and tryptophan biosynthesis","Fatty acid metabolism","Arginine biosynthesis","Tryptophan metabolism","Cyanoamino acid metabolism","Ubiquinone and other terpenoid-quinone biosynthesis","Pyrimidine metabolism","Tyrosine metabolism","Protein export","Arginine and proline metabolism","Histidine metabolism","beta-Alanine metabolism","Glycerophospholipid metabolism","Photosynthesis - antenna proteins","Lysine degradation","Inositol phosphate metabolism","Propanoate metabolism","Butanoate metabolism","Terpenoid backbone biosynthesis","Nitrogen metabolism","Lysine biosynthesis","Phenylalanine metabolism","Riboflavin metabolism","Sulfur metabolism","Ribosome biogenesis in eukaryotes","Nucleotide excision repair","Plant hormone signal transduction","Ubiquitin mediated proteolysis","SNARE interactions in vesicular transport","Fatty acid biosynthesis","Other glycan degradation","Various types of N-glycan biosynthesis","Arachidonic acid metabolism","Sphingolipid metabolism","One carbon pool by folate","Thiamine metabolism","Biosynthesis of unsaturated fatty acids","DNA replication","Phosphatidylinositol signaling system","Pentose and glucuronate interconversions","Cutin, suberine and wax biosynthesis","Monobactam biosynthesis","N-Glycan biosynthesis","Linoleic acid metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series","Vitamin B6 metabolism","Pantothenate and CoA biosynthesis","Folate biosynthesis","Carotenoid biosynthesis","Flavonoid biosynthesis","Mismatch repair","Caffeine metabolism","Valine, leucine and isoleucine biosynthesis","Selenocompound metabolism","Glycosaminoglycan degradation","Glycosphingolipid biosynthesis - ganglio series","Nicotinate and nicotinamide metabolism","Monoterpenoid biosynthesis","Limonene and pinene degradation","Isoquinoline alkaloid biosynthesis","Tropane, piperidine and pyridine alkaloid biosynthesis","Base excision repair","Circadian rhythm - plant","Fatty acid elongation","Taurine and hypotaurine metabolism","Ether lipid metabolism","C5-Branched dibasic acid metabolism","Biotin metabolism","Diterpenoid biosynthesis","Stilbenoid, diarylheptanoid and gingerol biosynthesis","Glucosinolate biosynthesis","ABC transporters","Homologous recombination","Sulfur relay system","Autophagy - other","AGE-RAGE signaling pathway in diabetic complications"
"Means.4Recovery2 blue.txt",-1.463528988,-1.457827533,-0.110390297,-0.067071689,-0.051753121,0.0619949,-0.007711307,0.00444701,-0.010191976,-0.138817793,-0.045060425,-0.281520987,-0.397557351,-0.056063146,0,-0.080335322,-0.015361881,-0.002026972,0.011023246,-0.043536956,-0.108405395,-0.016564642,-0.020929028,-0.090848992,0,-0.039077439,0.016868929,-0.02618639,-0.050889067,0,-0.050524312,-0.083596339,-0.002026972,-0.002026972,-0.056768103,-0.050889067,-0.580102897,0,-0.034624677,0.016868929,0,-0.038926707,-0.020711818,-0.083269657,0.01718903,0,-0.107570516,-0.003356291,0,0.009168136,-0.036578572,0,0,-0.073126056,0.004985385,0,0,-0.011982224,-0.050889067,-0.022236989,-0.024586427,0.01718903,0,-0.009097226,0,-0.039543759,0,-0.016646542,0.029951959,0,-0.030071693,-0.03238059,0.016390434,0.059022693,0,-0.038926707,0,0,-0.050889067,-0.016646542,-0.011982224,0,-0.085929989,0,0.003705552,0,0.055317141,0,0,0,0,-0.193841266,-0.016646542,0,0,0,0.016390434,0.016390434,0.002745036,-0.060691696,0,0.009168136,0.009168136,-0.016646542,-0.11175785,0,-0.022236989,0.004985385,0,0,-0.027790523,0,0,0,0,0,0,0
"Means.5ControlA2 blue.txt",1.43822389,0.746629364,0.19878336,0.061165955,0.100958102,0.161997076,0.067134447,0.185992869,0.189014359,0.063338832,0.084523952,0.362309261,-0.00509876500000001,0.123123598,0,0.005490492,0.211433833,-2.86057e-06,0.132117915,-0.008625888,-0.008489797,0.052583951,0.053874632,-0.006414862,0,0.302621663,0.065740365,0.145092121,-0.007763842,0,0.05048937,-0.0211513,-2.86057e-06,-2.86057e-06,0.003348262,-0.007763842,-0.018886905,0,-0.003174914,0.065740365,0,-0.010646982,0.037992505,-0.013059303,0.076480395,0,0.035691025,0.099870041,0,0.040404422,0.016960142,0,0,0.077595128,0.022938906,0,0,-0.005356106,-0.007763842,0.08535897,0.035724767,0.076480395,0,0.089936617,0,-0.014285553,0,0.003594775,0.090680084,0,0.070272458,-0.005295461,0.023162778,0.065196443,0,-0.010646982,0,0,-0.007763842,0.003594775,-0.005356106,0,0.014775493,0,0.031386683,0,0.03380976,0,0,0,0,0.033896522,0.003594775,0,0,0,0.023162778,0.023162778,0.021797075,0.011522489,0,0.040404422,0.040404422,0.003594775,0.044764376,0,0.08535897,0.022938906,0,0,0.024015239,0,0,0,0,0,0,0
"Means.2Moderate3 brown.txt",-0.860635292,-0.437508561,0.01786511,-0.102465083,-0.116584189,0.00889761,0.00830172000000001,-0.058949755,0.000958818,0,0,-0.003443257,-0.000124231000000001,0.091666295,-0.112968968,-0.001273763,0,0,0.000958818,-0.039446126,-0.00558925,0,0,-0.041486763,-0.079471142,-0.004185675,0.066258849,-0.015408691,0.043826193,-0.026126755,0,-0.439095464,0,0,-0.021620191,0,0,0.003250718,0,0,-0.010257462,-0.006868347,-0.017094013,0,-0.010969278,0,0,0,0.007147087,0,-0.011088187,0,0,0,-0.016247592,0,0,0,0,0,-0.03088439,-0.117191707,-0.027185228,0,0,-0.118974512,0,0,0,0,0,0,0,0,0,0,0,-0.226336775,0,0,-0.016247592,0,0,0,0,0,0,0,0,-0.022492016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.3Extreme3 brown.txt",-4.070870697,-2.761084045,-1.064679749,-0.24701494,-0.61994541,-0.051838931,-0.34003945,-0.695274095,-0.131298631,0,0,-0.156102,-0.076484648,-0.662223763,-0.46319095,-0.136594045,0,0,-0.131298631,-0.240186936,-0.093330214,0,0,-0.206068139,-0.308874795,-0.255199609,-0.345982057,-0.162517782,-0.138692485,-0.096487473,0,-0.792399312,0,0,-0.055310061,0,0,-0.087007802,0,0,-0.148608098,-0.031590787,-0.094193866,0,-0.164128585,0,0,0,-0.005848572,0,-0.037933487,0,0,0,-0.089608021,0,0,0,0,0,-0.447674359,-0.286923299,-0.11680385,0,0,-0.265310848,0,0,0,0,0,0,0,0,0,0,0,-0.280478612,0,0,-0.089608021,0,0,0,0,0,0,0,0,-0.093497238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.4Recovery3 brown.txt",-0.7043629783,-0.4628634173,-0.178707013,-0.068159889,-0.1706425443,-0.03543971,0.03869444,-0.094592188,-0.000821967999999999,0,0,0.012920233,-0.018492241,-0.122553487,-0.073458259,-0.014604631,0,0,-0.000821967999999999,-0.034876778,-0.047592561,0,0,-0.042188492,-0.080329742,-0.097730021,-0.072039826,-0.018004198,-0.044593868,-0.057825307,0,-0.181923873,0,0,-0.034068215,0,0,-0.044988089,0,0,0.015816644,-0.023440345,-0.03329377,0,-0.069576666,0,0,0,0.01156135,0,-0.014137477,0,0,0,0.027061033,0,0,0,0,0,-0.126659359,-0.113689754,-0.0167092703,0,0,-0.085722956,0,0,0,0,0,0,0,0,0,0,0,-0.0526541,0,0,0.027061033,0,0,0,0,0,0,0,0,-0.015879094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.5ControlA3 brown.txt",-1.61373161,-1.088067308,-0.448446778,-0.074721437,-0.324054725,-0.009341995,-0.138695053,-0.327101946,-0.045493883,0,0,-0.058345343,-0.036942929,-0.227670365,-0.113208839,-0.046481057,0,0,-0.045493883,-0.118142606,-0.046693555,0,0,-0.082439104,-0.164502987,-0.114201305,-0.093488811,-0.083004254,-0.048153909,-0.056591026,0,-0.405098752,0,0,-0.033808748,0,0,-0.045761315,0,0,-0.036158461,-0.015205406,-0.039306057,0,-0.086948955,0,0,0,-0.022886696,0,-0.006664662,0,0,0,-0.018660889,0,0,0,0,0,-0.090443935,-0.11018016,-0.042991412,0,0,-0.075375286,0,0,0,0,0,0,0,0,0,0,0,-0.211206454,0,0,-0.018660889,0,0,0,0,0,0,0,0,-0.038244403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.2Moderate4 cyan.txt",0.025677387,0.004618999,0,-0.075076245,0,0,0,0,0,0.039906638,0,0,-0.038464011,0,0,0,-0.015422567,-0.013455498,0,0,0.035204472,-0.013526262,0.016976879,0,0,0,0,0.021058388,0,0,0,0,-0.007410725,0,0,0,0,0,0,0,0.023301105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023301105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.3Extreme4 cyan.txt",0.082527474,0.068338106,0,-0.018576146,0,0,0,0,0,0.068684371,0,0,-0.004866548,0,0,0,-0.001313696,0.04012702,0,0,0.039185658,0.018224554,0.052794688,0,0,0,0,0.014189368,0,0,0,0,0.009198039,0,0,0,0,0,0,0,0.035332692,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035332692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.4Recovery4 cyan.txt",0.121590934,0.120782132,0,-0.116604264,0,0,0,0,0,-0.009586629,0,0,-0.033552713,0,0,0,0.06910855,-0.020656705,0,0,0.048385552,-0.010312356,0.004336539,0,0,0,0,0.000808802,0,0,0,0,-0.009288072,0,0,0,0,0,0,0,0.036840743,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036840743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.5ControlA4 cyan.txt",0.007825342,0.006398598,0,-0.029340831,0,0,0,0,0,0.026317317,0,0,-0.023570774,0,0,0,0.018994445,0.003763148,0,0,0.014893903,0.016490349,0.023270558,0,0,0,0,0.001426744,0,0,0,0,-0.004271822,0,0,0,0,0,0,0,-0.003918976,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003918976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.2Moderate5 green.txt",0.132230615,-0.098097558,-0.059637079,-0.107946907,-0.056962385,0.078626284,-0.045145382,0,-0.047765736,-0.004666278,-0.007029114,0.089816397,0,0,-0.004747423,-0.055849657,0,0.020591077,-0.047765736,0,0,0.000114917,-0.008542819,0.009603072,0,0,0,0,-0.009959636,0,0,0,-0.015042993,-0.007026946,-0.07171939,-0.011871343,0,0,0,0,0,0,-0.056962385,0,0,0,0,0,0,-0.011871343,0,0,0,0,0,0.057682012,0,0,0,0,0,0,0,0,0.008898834,0,0,-0.014323619,0,0.00026139,0,0,0,0,0,0,0,0,0,-0.001013903,0,0,0,0,0,0,0,0,0,0,0,0,-0.001013903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001013903,0,0,0
